日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/07/06 06:00:00,112.627,112.65,112.579,112.579,112.737,112.76,112.689,112.689
2016/07/06 06:01:00,112.579,112.584,112.533,112.577,112.689,112.694,112.643,112.687
2016/07/06 06:02:00,112.577,112.605,112.51,112.583,112.687,112.715,112.62,112.693
2016/07/06 06:03:00,112.583,112.646,112.536,112.577,112.693,112.743,112.646,112.687
2016/07/06 06:04:00,112.577,112.611,112.576,112.608,112.687,112.721,112.686,112.718
2016/07/06 06:05:00,112.608,112.621,112.604,112.614,112.718,112.719,112.702,112.709
2016/07/06 06:06:00,112.614,112.614,112.591,112.606,112.709,112.709,112.679,112.705
2016/07/06 06:07:00,112.606,112.611,112.595,112.607,112.705,112.706,112.673,112.679
2016/07/06 06:08:00,112.607,112.614,112.603,112.604,112.679,112.686,112.675,112.676
2016/07/06 06:09:00,112.604,112.609,112.589,112.59,112.676,112.69,112.673,112.673
2016/07/06 06:10:00,112.59,112.608,112.586,112.592,112.673,112.697,112.673,112.68
2016/07/06 06:11:00,112.592,112.603,112.575,112.588,112.68,112.686,112.65,112.665
2016/07/06 06:12:00,112.588,112.616,112.584,112.61,112.665,112.671,112.658,112.663
2016/07/06 06:13:00,112.61,112.611,112.605,112.61,112.663,112.668,112.655,112.668
2016/07/06 06:14:00,112.61,112.619,112.61,112.617,112.668,112.67,112.665,112.667
2016/07/06 06:15:00,112.617,112.649,112.614,112.641,112.667,112.674,112.643,112.647
2016/07/06 06:16:00,112.641,112.656,112.634,112.643,112.647,112.701,112.646,112.696
2016/07/06 06:17:00,112.643,112.675,112.642,112.65,112.696,112.701,112.67,112.701
2016/07/06 06:18:00,112.65,112.675,112.646,112.674,112.701,112.703,112.678,112.68
2016/07/06 06:19:00,112.674,112.674,112.63,112.63,112.68,112.704,112.676,112.682
2016/07/06 06:20:00,112.63,112.654,112.626,112.634,112.682,112.689,112.658,112.687
2016/07/06 06:21:00,112.634,112.653,112.605,112.605,112.687,112.69,112.658,112.674
2016/07/06 06:22:00,112.605,112.629,112.602,112.602,112.674,112.674,112.632,112.655
2016/07/06 06:23:00,112.602,112.632,112.592,112.592,112.655,112.661,112.63,112.645
2016/07/06 06:24:00,112.592,112.595,112.576,112.582,112.645,112.665,112.632,112.644
2016/07/06 06:25:00,112.582,112.587,112.57,112.586,112.644,112.644,112.624,112.639
2016/07/06 06:26:00,112.586,112.591,112.581,112.589,112.639,112.644,112.635,112.642
2016/07/06 06:27:00,112.589,112.592,112.583,112.589,112.642,112.645,112.637,112.642
2016/07/06 06:28:00,112.589,112.591,112.583,112.59,112.642,112.645,112.637,112.643
2016/07/06 06:29:00,112.59,112.617,112.589,112.613,112.643,112.671,112.642,112.666
2016/07/06 06:30:00,112.613,112.627,112.607,112.61,112.666,112.68,112.661,112.663
