日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/05/18 06:00:00,123.429,123.449,123.426,123.449,123.539,123.542,123.519,123.521
2016/05/18 06:01:00,123.449,123.475,123.445,123.474,123.521,123.531,123.5,123.514
2016/05/18 06:02:00,123.474,123.474,123.428,123.428,123.514,123.514,123.477,123.503
2016/05/18 06:03:00,123.428,123.457,123.419,123.451,123.503,123.512,123.484,123.506
2016/05/18 06:04:00,123.451,123.463,123.45,123.452,123.506,123.528,123.502,123.528
2016/05/18 06:05:00,123.452,123.458,123.44,123.449,123.528,123.534,123.516,123.524
2016/05/18 06:06:00,123.449,123.455,123.413,123.413,123.524,123.531,123.487,123.488
2016/05/18 06:07:00,123.413,123.487,123.401,123.487,123.488,123.539,123.469,123.527
2016/05/18 06:08:00,123.487,123.489,123.464,123.471,123.527,123.539,123.513,123.515
2016/05/18 06:09:00,123.471,123.495,123.471,123.483,123.515,123.549,123.515,123.54
2016/05/18 06:10:00,123.483,123.502,123.453,123.454,123.54,123.542,123.5,123.522
2016/05/18 06:11:00,123.454,123.462,123.446,123.457,123.522,123.529,123.513,123.524
2016/05/18 06:12:00,123.457,123.457,123.446,123.449,123.524,123.524,123.514,123.517
2016/05/18 06:13:00,123.449,123.486,123.449,123.481,123.517,123.517,123.485,123.487
2016/05/18 06:14:00,123.481,123.483,123.448,123.448,123.487,123.517,123.487,123.516
2016/05/18 06:15:00,123.448,123.46,123.416,123.424,123.516,123.52,123.483,123.491
2016/05/18 06:16:00,123.424,123.433,123.424,123.428,123.491,123.5,123.491,123.495
2016/05/18 06:17:00,123.428,123.437,123.418,123.435,123.495,123.504,123.485,123.502
2016/05/18 06:18:00,123.435,123.435,123.427,123.434,123.502,123.502,123.495,123.502
2016/05/18 06:19:00,123.434,123.439,123.427,123.428,123.502,123.503,123.486,123.496
2016/05/18 06:20:00,123.428,123.443,123.422,123.441,123.496,123.51,123.489,123.509
2016/05/18 06:21:00,123.441,123.471,123.431,123.448,123.509,123.516,123.472,123.516
2016/05/18 06:22:00,123.448,123.482,123.443,123.482,123.516,123.549,123.51,123.54
2016/05/18 06:23:00,123.482,123.482,123.456,123.461,123.54,123.54,123.507,123.511
2016/05/18 06:24:00,123.461,123.467,123.457,123.458,123.511,123.517,123.507,123.508
2016/05/18 06:25:00,123.458,123.458,123.439,123.444,123.508,123.508,123.489,123.494
2016/05/18 06:26:00,123.444,123.454,123.441,123.441,123.494,123.504,123.491,123.491
2016/05/18 06:27:00,123.441,123.483,123.441,123.477,123.491,123.511,123.483,123.483
2016/05/18 06:28:00,123.477,123.483,123.477,123.483,123.483,123.489,123.483,123.489
2016/05/18 06:29:00,123.483,123.497,123.475,123.489,123.489,123.525,123.489,123.495
2016/05/18 06:30:00,123.489,123.489,123.443,123.447,123.495,123.514,123.485,123.497
2016/05/18 06:31:00,123.447,123.458,123.432,123.435,123.497,123.509,123.483,123.485
2016/05/18 06:32:00,123.435,123.473,123.424,123.445,123.485,123.504,123.455,123.495
