日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/07/06 06:00:00,101.707,101.707,101.694,101.697,101.774,101.775,101.758,101.758
2016/07/06 06:01:00,101.697,101.699,101.662,101.684,101.758,101.764,101.734,101.755
2016/07/06 06:02:00,101.684,101.745,101.587,101.745,101.755,101.769,101.667,101.769
2016/07/06 06:03:00,101.745,101.748,101.713,101.713,101.769,101.775,101.765,101.766
2016/07/06 06:04:00,101.713,101.714,101.694,101.694,101.766,101.767,101.747,101.747
2016/07/06 06:05:00,101.694,101.719,101.694,101.716,101.747,101.762,101.747,101.761
2016/07/06 06:06:00,101.716,101.717,101.691,101.701,101.761,101.762,101.732,101.738
2016/07/06 06:07:00,101.701,101.706,101.696,101.696,101.738,101.742,101.733,101.734
2016/07/06 06:08:00,101.696,101.698,101.694,101.698,101.734,101.736,101.734,101.736
2016/07/06 06:09:00,101.698,101.7,101.694,101.695,101.736,101.736,101.733,101.733
2016/07/06 06:10:00,101.695,101.708,101.692,101.702,101.733,101.745,101.732,101.741
2016/07/06 06:11:00,101.702,101.712,101.702,101.705,101.741,101.748,101.74,101.741
2016/07/06 06:12:00,101.705,101.747,101.705,101.742,101.741,101.766,101.741,101.755
2016/07/06 06:13:00,101.742,101.753,101.739,101.742,101.755,101.776,101.753,101.774
2016/07/06 06:14:00,101.742,101.744,101.735,101.735,101.774,101.775,101.757,101.768
2016/07/06 06:15:00,101.735,101.749,101.735,101.748,101.768,101.773,101.761,101.761
2016/07/06 06:16:00,101.748,101.757,101.748,101.75,101.761,101.777,101.758,101.776
2016/07/06 06:17:00,101.75,101.758,101.75,101.754,101.776,101.776,101.767,101.767
2016/07/06 06:18:00,101.754,101.754,101.746,101.746,101.767,101.774,101.765,101.771
2016/07/06 06:19:00,101.746,101.758,101.745,101.747,101.771,101.771,101.758,101.76
2016/07/06 06:20:00,101.747,101.757,101.745,101.754,101.76,101.767,101.758,101.764
2016/07/06 06:21:00,101.754,101.755,101.734,101.734,101.764,101.771,101.756,101.761
2016/07/06 06:22:00,101.734,101.736,101.727,101.727,101.761,101.763,101.754,101.754
2016/07/06 06:23:00,101.727,101.728,101.727,101.727,101.754,101.755,101.754,101.754
2016/07/06 06:24:00,101.727,101.734,101.727,101.728,101.754,101.761,101.754,101.755
2016/07/06 06:25:00,101.728,101.728,101.724,101.724,101.755,101.755,101.751,101.751
2016/07/06 06:26:00,101.724,101.739,101.724,101.728,101.751,101.76,101.747,101.755
2016/07/06 06:27:00,101.728,101.731,101.722,101.722,101.755,101.757,101.748,101.749
2016/07/06 06:28:00,101.722,101.724,101.722,101.722,101.749,101.751,101.748,101.749
2016/07/06 06:29:00,101.722,101.744,101.722,101.736,101.749,101.765,101.745,101.763
2016/07/06 06:30:00,101.736,101.741,101.724,101.736,101.763,101.768,101.748,101.749
2016/07/06 06:31:00,101.736,101.738,101.715,101.715,101.749,101.753,101.741,101.742
2016/07/06 06:32:00,101.715,101.715,101.692,101.704,101.742,101.748,101.713,101.717
2016/07/06 06:33:00,101.704,101.704,101.689,101.694,101.717,101.723,101.715,101.719
2016/07/06 06:34:00,101.694,101.701,101.691,101.697,101.719,101.723,101.71,101.71
2016/07/06 06:35:00,101.697,101.7,101.683,101.683,101.71,101.722,101.707,101.709
2016/07/06 06:36:00,101.683,101.701,101.682,101.701,101.709,101.719,101.708,101.711
2016/07/06 06:37:00,101.701,101.701,101.683,101.689,101.711,101.726,101.705,101.715
2016/07/06 06:38:00,101.689,101.701,101.68,101.688,101.715,101.715,101.704,101.714
2016/07/06 06:39:00,101.688,101.696,101.682,101.69,101.714,101.714,101.695,101.697
2016/07/06 06:40:00,101.69,101.691,101.673,101.679,101.697,101.705,101.695,101.705
2016/07/06 06:41:00,101.679,101.695,101.677,101.691,101.705,101.706,101.696,101.698
2016/07/06 06:42:00,101.691,101.696,101.689,101.693,101.698,101.703,101.696,101.7
2016/07/06 06:43:00,101.693,101.694,101.688,101.689,101.7,101.705,101.7,101.702
2016/07/06 06:44:00,101.689,101.692,101.687,101.687,101.702,101.703,101.699,101.7
2016/07/06 06:45:00,101.687,101.693,101.687,101.691,101.7,101.702,101.697,101.698
2016/07/06 06:46:00,101.691,101.696,101.69,101.694,101.698,101.703,101.698,101.701
2016/07/06 06:47:00,101.694,101.694,101.691,101.693,101.701,101.702,101.699,101.7
2016/07/06 06:48:00,101.693,101.698,101.693,101.696,101.7,101.705,101.7,101.703
