日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/04/20 06:00:00,109.188,109.196,109.168,109.169,109.224,109.24,109.217,109.24
2016/04/20 06:01:00,109.169,109.176,109.168,109.176,109.24,109.24,109.219,109.223
2016/04/20 06:02:00,109.176,109.188,109.176,109.178,109.223,109.23,109.202,109.202
2016/04/20 06:03:00,109.178,109.191,109.177,109.191,109.202,109.216,109.201,109.215
2016/04/20 06:04:00,109.191,109.217,109.187,109.214,109.215,109.241,109.211,109.238
2016/04/20 06:05:00,109.214,109.227,109.207,109.207,109.238,109.251,109.231,109.231
2016/04/20 06:06:00,109.207,109.207,109.196,109.204,109.231,109.24,109.22,109.24
2016/04/20 06:07:00,109.204,109.23,109.204,109.223,109.24,109.254,109.237,109.247
2016/04/20 06:08:00,109.223,109.223,109.204,109.208,109.247,109.247,109.228,109.232
2016/04/20 06:09:00,109.208,109.213,109.205,109.213,109.232,109.237,109.229,109.237
2016/04/20 06:10:00,109.213,109.228,109.211,109.227,109.237,109.238,109.232,109.237
2016/04/20 06:11:00,109.227,109.228,109.223,109.226,109.237,109.241,109.236,109.239
2016/04/20 06:12:00,109.226,109.228,109.223,109.224,109.239,109.241,109.236,109.237
2016/04/20 06:13:00,109.224,109.225,109.217,109.217,109.237,109.238,109.23,109.23
2016/04/20 06:14:00,109.217,109.222,109.217,109.222,109.23,109.235,109.23,109.235
2016/04/20 06:15:00,109.222,109.244,109.22,109.237,109.235,109.254,109.233,109.247
2016/04/20 06:16:00,109.237,109.239,109.223,109.227,109.247,109.253,109.237,109.253
2016/04/20 06:17:00,109.227,109.237,109.227,109.231,109.253,109.257,109.247,109.257
2016/04/20 06:18:00,109.231,109.243,109.231,109.239,109.257,109.257,109.248,109.252
2016/04/20 06:19:00,109.239,109.239,109.233,109.236,109.252,109.252,109.246,109.249
2016/04/20 06:20:00,109.236,109.246,109.235,109.238,109.249,109.267,109.248,109.263
2016/04/20 06:21:00,109.238,109.249,109.237,109.242,109.263,109.268,109.262,109.267
2016/04/20 06:22:00,109.242,109.249,109.236,109.245,109.267,109.273,109.255,109.272
2016/04/20 06:23:00,109.245,109.247,109.242,109.243,109.272,109.276,109.27,109.271
2016/04/20 06:24:00,109.243,109.244,109.234,109.241,109.271,109.276,109.265,109.268
2016/04/20 06:25:00,109.241,109.248,109.237,109.247,109.268,109.278,109.263,109.276
2016/04/20 06:26:00,109.247,109.247,109.243,109.245,109.276,109.276,109.27,109.271
2016/04/20 06:27:00,109.245,109.246,109.244,109.245,109.271,109.272,109.27,109.272
2016/04/20 06:28:00,109.245,109.245,109.239,109.245,109.272,109.276,109.268,109.276
