日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/06/24 06:00:00,120.804,120.807,120.401,120.464,120.924,120.927,120.521,120.584
2016/06/24 06:01:00,120.464,120.967,120.464,120.967,120.584,121.006,120.584,120.992
2016/06/24 06:02:00,120.967,120.97,120.921,120.947,120.992,121.013,120.97,120.987
2016/06/24 06:03:00,120.947,120.954,120.612,120.911,120.987,121.031,120.732,121.031
2016/06/24 06:04:00,120.911,121.054,120.85,120.973,121.031,121.174,120.97,121.093
2016/06/24 06:05:00,120.973,121.271,120.937,121.12,121.093,121.391,121.057,121.145
2016/06/24 06:06:00,121.12,121.356,121.023,121.321,121.145,121.476,121.139,121.441
2016/06/24 06:07:00,121.321,121.399,121.246,121.294,121.441,121.484,121.366,121.414
2016/06/24 06:08:00,121.294,121.533,121.294,121.527,121.414,121.653,121.414,121.647
2016/06/24 06:09:00,121.527,121.613,121.507,121.545,121.647,121.733,121.583,121.665
2016/06/24 06:10:00,121.545,121.717,121.507,121.64,121.665,121.79,121.627,121.76
2016/06/24 06:11:00,121.64,121.715,121.617,121.667,121.76,121.782,121.709,121.75
2016/06/24 06:12:00,121.667,121.744,121.61,121.631,121.75,121.797,121.693,121.708
2016/06/24 06:13:00,121.631,121.695,121.593,121.679,121.708,121.778,121.697,121.776
2016/06/24 06:14:00,121.679,121.857,121.658,121.842,121.776,121.934,121.758,121.922
2016/06/24 06:15:00,121.842,121.986,121.829,121.91,121.922,122.034,121.914,121.986
2016/06/24 06:16:00,121.91,121.963,121.786,121.884,121.986,122.048,121.88,121.971
2016/06/24 06:17:00,121.884,121.926,121.837,121.888,121.971,122.003,121.914,121.943
2016/06/24 06:18:00,121.888,121.936,121.804,121.811,121.943,122.008,121.88,121.887
2016/06/24 06:19:00,121.811,121.88,121.755,121.801,121.887,121.968,121.818,121.872
2016/06/24 06:20:00,121.801,121.801,121.71,121.745,121.872,121.872,121.787,121.821
2016/06/24 06:21:00,121.745,121.794,121.708,121.731,121.821,121.854,121.776,121.808
2016/06/24 06:22:00,121.731,121.732,121.55,121.594,121.808,121.809,121.626,121.696
2016/06/24 06:23:00,121.594,121.669,121.589,121.64,121.696,121.746,121.678,121.716
2016/06/24 06:24:00,121.64,121.663,121.582,121.613,121.716,121.733,121.667,121.691
2016/06/24 06:25:00,121.613,121.614,121.181,121.229,121.691,121.694,121.259,121.306
2016/06/24 06:26:00,121.229,121.374,121.2,121.288,121.306,121.45,121.277,121.328
2016/06/24 06:27:00,121.288,121.289,121.213,121.245,121.328,121.365,121.313,121.357
2016/06/24 06:28:00,121.245,121.339,121.18,121.306,121.357,121.424,121.262,121.415
2016/06/24 06:29:00,121.306,121.324,121.194,121.195,121.415,121.415,121.27,121.271
2016/06/24 06:30:00,121.195,121.272,121.164,121.255,121.271,121.352,121.244,121.336
2016/06/24 06:31:00,121.255,121.264,121.132,121.188,121.336,121.342,121.209,121.264
2016/06/24 06:32:00,121.188,121.189,121.134,121.137,121.264,121.266,121.188,121.2
2016/06/24 06:33:00,121.137,121.142,121.078,121.084,121.2,121.219,121.154,121.161
2016/06/24 06:34:00,121.084,121.084,121.011,121.054,121.161,121.161,121.088,121.129
2016/06/24 06:35:00,121.054,121.057,121.016,121.043,121.129,121.133,121.083,121.104
2016/06/24 06:36:00,121.043,121.137,121.043,121.129,121.104,121.192,121.08,121.179
2016/06/24 06:37:00,121.129,121.309,121.116,121.306,121.179,121.385,121.179,121.382
2016/06/24 06:38:00,121.306,121.468,121.24,121.468,121.382,121.545,121.316,121.545
2016/06/24 06:39:00,121.468,121.534,121.459,121.529,121.545,121.612,121.535,121.606
2016/06/24 06:40:00,121.529,121.547,121.517,121.547,121.606,121.623,121.594,121.623
2016/06/24 06:41:00,121.547,121.627,121.501,121.596,121.623,121.703,121.578,121.672
2016/06/24 06:42:00,121.596,121.675,121.525,121.525,121.672,121.719,121.601,121.601
2016/06/24 06:43:00,121.525,121.53,121.265,121.377,121.601,121.606,121.341,121.454
2016/06/24 06:44:00,121.377,121.433,121.376,121.418,121.454,121.51,121.453,121.494
2016/06/24 06:45:00,121.418,121.667,121.414,121.667,121.494,121.744,121.483,121.743
2016/06/24 06:46:00,121.667,121.684,121.591,121.629,121.743,121.76,121.665,121.691
2016/06/24 06:47:00,121.629,121.669,121.603,121.615,121.691,121.745,121.678,121.692
2016/06/24 06:48:00,121.615,121.701,121.59,121.591,121.692,121.755,121.654,121.655
2016/06/24 06:49:00,121.591,121.645,121.586,121.641,121.655,121.722,121.655,121.717
2016/06/24 06:50:00,121.641,121.705,121.641,121.704,121.717,121.782,121.717,121.781
2016/06/24 06:51:00,121.704,121.848,121.659,121.822,121.781,121.877,121.726,121.862
2016/06/24 06:52:00,121.822,121.822,121.756,121.781,121.862,121.884,121.798,121.858
2016/06/24 06:53:00,121.781,121.852,121.771,121.848,121.858,121.929,121.839,121.925
2016/06/24 06:54:00,121.848,121.849,121.755,121.768,121.925,121.926,121.831,121.844
2016/06/24 06:55:00,121.768,121.771,121.698,121.698,121.844,121.848,121.774,121.774
2016/06/24 06:56:00,121.698,121.698,121.648,121.656,121.774,121.774,121.725,121.733
2016/06/24 06:57:00,121.656,121.709,121.654,121.705,121.733,121.785,121.731,121.782
2016/06/24 06:58:00,121.705,121.747,121.683,121.686,121.782,121.823,121.76,121.762
2016/06/24 06:59:00,121.686,121.748,121.686,121.748,121.762,121.858,121.762,121.858
2016/06/24 07:00:00,121.748,121.77,121.556,121.565,121.858,121.858,121.611,121.623
2016/06/24 07:01:00,121.565,121.584,121.516,121.521,121.623,121.645,121.576,121.581
2016/06/24 07:02:00,121.521,121.525,121.409,121.421,121.581,121.586,121.47,121.481
2016/06/24 07:03:00,121.421,121.463,121.404,121.459,121.481,121.521,121.465,121.519
2016/06/24 07:04:00,121.459,121.478,121.402,121.413,121.519,121.537,121.463,121.474
2016/06/24 07:05:00,121.413,121.434,121.379,121.43,121.474,121.495,121.439,121.491
2016/06/24 07:06:00,121.43,121.457,121.405,121.426,121.491,121.517,121.453,121.478
2016/06/24 07:07:00,121.426,121.426,121.376,121.395,121.478,121.481,121.429,121.455
