日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/06/08 06:00:00,121.884,121.89,121.879,121.89,121.994,122,121.989,122
2016/06/08 06:01:00,121.89,121.89,121.888,121.889,122,122,121.998,121.999
2016/06/08 06:02:00,121.889,121.928,121.889,121.907,121.999,122.008,121.972,121.972
2016/06/08 06:03:00,121.907,121.912,121.878,121.886,121.972,121.985,121.967,121.985
2016/06/08 06:04:00,121.886,121.887,121.863,121.872,121.985,121.985,121.922,121.928
2016/06/08 06:05:00,121.872,121.901,121.863,121.901,121.928,122.003,121.928,122
2016/06/08 06:06:00,121.901,121.914,121.901,121.914,122,122,121.989,121.995
2016/06/08 06:07:00,121.914,121.943,121.912,121.941,121.995,121.997,121.977,121.981
2016/06/08 06:08:00,121.941,121.941,121.923,121.926,121.981,122.006,121.978,122.004
2016/06/08 06:09:00,121.926,121.957,121.925,121.955,122.004,122.006,121.979,121.98
2016/06/08 06:10:00,121.955,121.967,121.926,121.952,121.98,121.984,121.952,121.958
2016/06/08 06:11:00,121.952,121.952,121.899,121.899,121.958,121.976,121.939,121.953
2016/06/08 06:12:00,121.899,121.928,121.899,121.928,121.953,121.953,121.912,121.934
2016/06/08 06:13:00,121.928,121.942,121.906,121.936,121.934,121.966,121.933,121.942
2016/06/08 06:14:00,121.936,121.939,121.911,121.935,121.942,121.969,121.941,121.941
2016/06/08 06:15:00,121.935,121.935,121.907,121.914,121.941,121.968,121.941,121.964
2016/06/08 06:16:00,121.914,121.936,121.904,121.928,121.964,121.966,121.93,121.934
2016/06/08 06:17:00,121.928,121.934,121.905,121.931,121.934,121.964,121.932,121.937
2016/06/08 06:18:00,121.931,121.941,121.912,121.941,121.937,121.969,121.931,121.947
2016/06/08 06:19:00,121.941,121.956,121.912,121.956,121.947,121.989,121.947,121.962
2016/06/08 06:20:00,121.956,121.956,121.917,121.949,121.962,121.986,121.948,121.955
2016/06/08 06:21:00,121.949,121.951,121.944,121.946,121.955,121.957,121.95,121.952
2016/06/08 06:22:00,121.946,121.946,121.943,121.944,121.952,121.952,121.949,121.95
2016/06/08 06:23:00,121.944,121.948,121.939,121.946,121.95,121.954,121.945,121.952
2016/06/08 06:24:00,121.946,121.952,121.943,121.946,121.952,121.958,121.949,121.952
2016/06/08 06:25:00,121.946,121.95,121.943,121.943,121.952,121.956,121.949,121.949
2016/06/08 06:26:00,121.943,121.946,121.939,121.939,121.949,121.952,121.945,121.945
2016/06/08 06:27:00,121.939,121.946,121.936,121.939,121.945,121.952,121.942,121.945
2016/06/08 06:28:00,121.939,121.942,121.916,121.941,121.945,121.969,121.941,121.947
2016/06/08 06:29:00,121.941,121.943,121.934,121.94,121.947,121.949,121.94,121.946
