日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/02/19 07:00:00,113.222,113.248,113.217,113.248,113.27,113.272,113.262,113.263
2016/02/19 07:01:00,113.248,113.248,113.238,113.238,113.263,113.274,113.263,113.274
2016/02/19 07:02:00,113.238,113.25,113.238,113.25,113.274,113.285,113.271,113.274
2016/02/19 07:03:00,113.25,113.25,113.25,113.25,113.274,113.274,113.274,113.274
2016/02/19 07:04:00,113.25,113.25,113.25,113.25,113.274,113.274,113.274,113.274
2016/02/19 07:05:00,113.25,113.25,113.242,113.244,113.274,113.274,113.266,113.268
2016/02/19 07:06:00,113.244,113.247,113.244,113.246,113.268,113.271,113.268,113.27
2016/02/19 07:07:00,113.246,113.25,113.245,113.25,113.27,113.27,113.262,113.265
2016/02/19 07:08:00,113.25,113.25,113.232,113.234,113.265,113.265,113.247,113.258
2016/02/19 07:09:00,113.234,113.241,113.227,113.24,113.258,113.272,113.253,113.264
2016/02/19 07:10:00,113.24,113.252,113.238,113.241,113.264,113.265,113.248,113.248
2016/02/19 07:11:00,113.241,113.254,113.24,113.252,113.248,113.261,113.247,113.259
2016/02/19 07:12:00,113.252,113.255,113.229,113.232,113.259,113.269,113.248,113.262
2016/02/19 07:13:00,113.232,113.242,113.231,113.237,113.262,113.264,113.242,113.244
2016/02/19 07:14:00,113.237,113.251,113.226,113.237,113.244,113.266,113.244,113.262
2016/02/19 07:15:00,113.237,113.237,113.226,113.227,113.262,113.263,113.244,113.256
2016/02/19 07:16:00,113.227,113.229,113.227,113.229,113.256,113.256,113.254,113.255
2016/02/19 07:17:00,113.229,113.229,113.227,113.228,113.255,113.256,113.254,113.256
2016/02/19 07:18:00,113.228,113.23,113.226,113.23,113.256,113.257,113.254,113.256
2016/02/19 07:19:00,113.23,113.238,113.22,113.237,113.256,113.256,113.238,113.244
2016/02/19 07:20:00,113.237,113.237,113.22,113.234,113.244,113.258,113.238,113.241
2016/02/19 07:21:00,113.234,113.234,113.221,113.224,113.241,113.258,113.239,113.25
2016/02/19 07:22:00,113.224,113.227,113.223,113.226,113.25,113.254,113.249,113.252
2016/02/19 07:23:00,113.226,113.226,113.214,113.221,113.252,113.256,113.241,113.252
2016/02/19 07:24:00,113.221,113.228,113.219,113.219,113.252,113.261,113.252,113.255
2016/02/19 07:25:00,113.219,113.223,113.219,113.223,113.255,113.257,113.252,113.256
2016/02/19 07:26:00,113.223,113.225,113.222,113.225,113.256,113.258,113.255,113.258
2016/02/19 07:27:00,113.225,113.25,113.217,113.245,113.258,113.259,113.238,113.252
2016/02/19 07:28:00,113.245,113.26,113.237,113.26,113.252,113.272,113.249,113.267
2016/02/19 07:29:00,113.26,113.261,113.259,113.26,113.267,113.268,113.266,113.267
2016/02/19 07:30:00,113.26,113.264,113.253,113.254,113.267,113.281,113.267,113.281
2016/02/19 07:31:00,113.254,113.264,113.254,113.263,113.281,113.281,113.27,113.27
2016/02/19 07:32:00,113.263,113.265,113.236,113.255,113.27,113.278,113.254,113.262
2016/02/19 07:33:00,113.255,113.258,113.246,113.258,113.262,113.276,113.262,113.265
2016/02/19 07:34:00,113.258,113.262,113.252,113.252,113.265,113.269,113.259,113.259
2016/02/19 07:35:00,113.252,113.26,113.25,113.253,113.259,113.267,113.257,113.26
2016/02/19 07:36:00,113.253,113.256,113.251,113.252,113.26,113.263,113.258,113.259
2016/02/19 07:37:00,113.252,113.258,113.25,113.252,113.259,113.265,113.257,113.259
2016/02/19 07:38:00,113.252,113.253,113.217,113.218,113.259,113.26,113.243,113.253
2016/02/19 07:39:00,113.218,113.225,113.218,113.22,113.253,113.261,113.253,113.256
2016/02/19 07:40:00,113.22,113.228,113.215,113.228,113.256,113.259,113.251,113.258
2016/02/19 07:41:00,113.228,113.237,113.223,113.236,113.258,113.259,113.239,113.243
2016/02/19 07:42:00,113.236,113.245,113.225,113.244,113.243,113.252,113.238,113.251
2016/02/19 07:43:00,113.244,113.262,113.242,113.262,113.251,113.269,113.249,113.269
2016/02/19 07:44:00,113.262,113.262,113.252,113.261,113.269,113.28,113.268,113.268
