日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/02/17 07:00:00,114.036,114.094,114.036,114.09,114.112,114.167,114.097,114.135
2016/02/17 07:01:00,114.09,114.103,114.072,114.073,114.135,114.136,114.095,114.097
2016/02/17 07:02:00,114.073,114.073,114.046,114.071,114.097,114.118,114.07,114.107
2016/02/17 07:03:00,114.071,114.071,114.048,114.051,114.107,114.119,114.084,114.106
2016/02/17 07:04:00,114.051,114.071,114.048,114.071,114.106,114.115,114.073,114.114
2016/02/17 07:05:00,114.071,114.071,114.044,114.054,114.114,114.114,114.08,114.092
2016/02/17 07:06:00,114.054,114.055,114.05,114.053,114.092,114.094,114.086,114.089
2016/02/17 07:07:00,114.053,114.054,114.049,114.054,114.089,114.092,114.085,114.091
2016/02/17 07:08:00,114.054,114.059,114.047,114.055,114.091,114.094,114.074,114.093
2016/02/17 07:09:00,114.055,114.057,114.054,114.054,114.093,114.094,114.09,114.09
2016/02/17 07:10:00,114.054,114.054,114.05,114.051,114.09,114.09,114.085,114.087
2016/02/17 07:11:00,114.051,114.072,114.045,114.071,114.087,114.09,114.078,114.078
2016/02/17 07:12:00,114.071,114.072,114.035,114.061,114.078,114.088,114.052,114.068
2016/02/17 07:13:00,114.061,114.065,114.046,114.056,114.068,114.082,114.068,114.082
2016/02/17 07:14:00,114.056,114.065,114.048,114.059,114.082,114.082,114.065,114.066
2016/02/17 07:15:00,114.059,114.066,114.051,114.054,114.066,114.082,114.066,114.079
2016/02/17 07:16:00,114.054,114.062,114.05,114.053,114.079,114.08,114.066,114.079
2016/02/17 07:17:00,114.053,114.062,114.05,114.051,114.079,114.079,114.067,114.076
2016/02/17 07:18:00,114.051,114.06,114.038,114.051,114.076,114.077,114.051,114.076
2016/02/17 07:19:00,114.051,114.059,114.046,114.05,114.076,114.079,114.065,114.075
2016/02/17 07:20:00,114.05,114.066,114.05,114.054,114.075,114.083,114.066,114.08
2016/02/17 07:21:00,114.054,114.071,114.053,114.059,114.08,114.086,114.074,114.084
2016/02/17 07:22:00,114.059,114.069,114.056,114.056,114.084,114.085,114.073,114.084
2016/02/17 07:23:00,114.056,114.071,114.056,114.071,114.084,114.084,114.075,114.078
2016/02/17 07:24:00,114.071,114.076,114.062,114.062,114.078,114.087,114.078,114.087
2016/02/17 07:25:00,114.062,114.063,114.06,114.061,114.087,114.088,114.085,114.086
2016/02/17 07:26:00,114.061,114.07,114.061,114.067,114.086,114.088,114.071,114.074
2016/02/17 07:27:00,114.067,114.068,114.041,114.05,114.074,114.075,114.057,114.057
2016/02/17 07:28:00,114.05,114.056,114.033,114.052,114.057,114.069,114.05,114.059
2016/02/17 07:29:00,114.052,114.052,114.043,114.043,114.059,114.068,114.057,114.068
2016/02/17 07:30:00,114.043,114.06,114.043,114.056,114.068,114.071,114.06,114.063
2016/02/17 07:31:00,114.056,114.072,114.038,114.064,114.063,114.089,114.062,114.089
2016/02/17 07:32:00,114.064,114.072,114.048,114.065,114.089,114.089,114.064,114.072
2016/02/17 07:33:00,114.065,114.072,114.06,114.071,114.072,114.092,114.072,114.078
2016/02/17 07:34:00,114.071,114.09,114.068,114.078,114.078,114.105,114.075,114.103
2016/02/17 07:35:00,114.078,114.094,114.076,114.092,114.103,114.105,114.094,114.099
2016/02/17 07:36:00,114.092,114.129,114.084,114.091,114.099,114.147,114.099,114.124
2016/02/17 07:37:00,114.091,114.124,114.081,114.12,114.124,114.135,114.117,114.127
2016/02/17 07:38:00,114.12,114.191,114.112,114.161,114.127,114.209,114.127,114.19
2016/02/17 07:39:00,114.161,114.161,114.147,114.153,114.19,114.19,114.174,114.179
2016/02/17 07:40:00,114.153,114.164,114.143,114.161,114.179,114.187,114.168,114.168
2016/02/17 07:41:00,114.161,114.191,114.15,114.186,114.168,114.219,114.168,114.212
2016/02/17 07:42:00,114.186,114.195,114.171,114.174,114.212,114.212,114.192,114.2
2016/02/17 07:43:00,114.174,114.174,114.168,114.172,114.2,114.201,114.194,114.198
2016/02/17 07:44:00,114.172,114.183,114.156,114.165,114.198,114.205,114.174,114.191
2016/02/17 07:45:00,114.165,114.179,114.16,114.162,114.191,114.201,114.185,114.192
2016/02/17 07:46:00,114.162,114.201,114.15,114.176,114.192,114.228,114.177,114.207
2016/02/17 07:47:00,114.176,114.221,114.176,114.202,114.207,114.239,114.207,114.232
2016/02/17 07:48:00,114.202,114.217,114.194,114.197,114.232,114.243,114.209,114.224
2016/02/17 07:49:00,114.197,114.197,114.15,114.159,114.224,114.224,114.18,114.204
2016/02/17 07:50:00,114.159,114.18,114.159,114.173,114.204,114.221,114.198,114.212
2016/02/17 07:51:00,114.173,114.18,114.153,114.174,114.212,114.219,114.184,114.219
2016/02/17 07:52:00,114.174,114.177,114.171,114.171,114.219,114.222,114.216,114.216
2016/02/17 07:53:00,114.171,114.184,114.165,114.177,114.216,114.229,114.198,114.21
2016/02/17 07:54:00,114.177,114.196,114.172,114.192,114.21,114.241,114.21,114.236
2016/02/17 07:55:00,114.192,114.196,114.18,114.185,114.236,114.24,114.225,114.23
2016/02/17 07:56:00,114.185,114.19,114.181,114.181,114.23,114.235,114.226,114.226
2016/02/17 07:57:00,114.181,114.188,114.181,114.185,114.226,114.233,114.226,114.229
2016/02/17 07:58:00,114.185,114.189,114.147,114.17,114.229,114.234,114.186,114.214
2016/02/17 07:59:00,114.17,114.216,114.161,114.208,114.214,114.247,114.208,114.239
2016/02/17 08:00:00,114.208,114.237,114.165,114.173,114.239,114.256,114.199,114.21
2016/02/17 08:01:00,114.173,114.173,114.121,114.135,114.21,114.21,114.139,114.161
2016/02/17 08:02:00,114.135,114.169,114.134,114.157,114.161,114.186,114.156,114.164
2016/02/17 08:03:00,114.157,114.191,114.157,114.163,114.164,114.201,114.164,114.196
2016/02/17 08:04:00,114.163,114.18,114.156,114.164,114.196,114.204,114.167,114.197
2016/02/17 08:05:00,114.164,114.165,114.14,114.142,114.197,114.197,114.173,114.175
2016/02/17 08:06:00,114.142,114.154,114.132,114.133,114.175,114.175,114.139,114.14
2016/02/17 08:07:00,114.133,114.156,114.132,114.142,114.14,114.175,114.139,114.174
2016/02/17 08:08:00,114.142,114.162,114.141,114.143,114.174,114.177,114.161,114.171
2016/02/17 08:09:00,114.143,114.163,114.141,114.157,114.171,114.197,114.171,114.195
2016/02/17 08:10:00,114.157,114.164,114.153,114.162,114.195,114.2,114.186,114.199
2016/02/17 08:11:00,114.162,114.204,114.162,114.204,114.199,114.22,114.199,114.211
2016/02/17 08:12:00,114.204,114.205,114.191,114.191,114.211,114.212,114.198,114.198
2016/02/17 08:13:00,114.191,114.193,114.187,114.187,114.198,114.2,114.194,114.194
2016/02/17 08:14:00,114.187,114.188,114.178,114.178,114.194,114.195,114.185,114.185
2016/02/17 08:15:00,114.178,114.178,114.153,114.154,114.185,114.185,114.16,114.161
2016/02/17 08:16:00,114.154,114.169,114.151,114.169,114.161,114.176,114.158,114.176
2016/02/17 08:17:00,114.169,114.178,114.169,114.174,114.176,114.185,114.176,114.181
2016/02/17 08:18:00,114.174,114.174,114.166,114.166,114.181,114.181,114.173,114.173
2016/02/17 08:19:00,114.166,114.172,114.164,114.165,114.173,114.179,114.171,114.172
2016/02/17 08:20:00,114.165,114.18,114.164,114.167,114.172,114.187,114.171,114.174
2016/02/17 08:21:00,114.167,114.18,114.167,114.178,114.174,114.187,114.174,114.185
2016/02/17 08:22:00,114.178,114.178,114.165,114.165,114.185,114.185,114.172,114.172
2016/02/17 08:23:00,114.165,114.169,114.159,114.16,114.172,114.176,114.166,114.167
2016/02/17 08:24:00,114.16,114.162,114.158,114.16,114.167,114.169,114.165,114.167
2016/02/17 08:25:00,114.16,114.161,114.158,114.159,114.167,114.168,114.165,114.166
2016/02/17 08:26:00,114.159,114.161,114.158,114.159,114.166,114.168,114.165,114.166
2016/02/17 08:27:00,114.159,114.159,114.147,114.152,114.166,114.166,114.154,114.159
2016/02/17 08:28:00,114.152,114.155,114.152,114.155,114.159,114.162,114.159,114.162
2016/02/17 08:29:00,114.155,114.156,114.141,114.141,114.162,114.163,114.148,114.148
2016/02/17 08:30:00,114.141,114.141,114.122,114.126,114.148,114.151,114.129,114.138
2016/02/17 08:31:00,114.126,114.126,114.111,114.111,114.138,114.138,114.118,114.118
2016/02/17 08:32:00,114.111,114.111,114.082,114.082,114.118,114.121,114.089,114.089
2016/02/17 08:33:00,114.082,114.097,114.077,114.086,114.089,114.104,114.088,114.098
2016/02/17 08:34:00,114.086,114.091,114.082,114.087,114.098,114.101,114.093,114.099
2016/02/17 08:35:00,114.087,114.092,114.086,114.091,114.099,114.104,114.097,114.098
2016/02/17 08:36:00,114.091,114.1,114.091,114.098,114.098,114.107,114.098,114.105
2016/02/17 08:37:00,114.098,114.099,114.096,114.096,114.105,114.106,114.103,114.103
2016/02/17 08:38:00,114.096,114.102,114.09,114.096,114.103,114.109,114.097,114.103
2016/02/17 08:39:00,114.096,114.104,114.095,114.102,114.103,114.111,114.102,114.109
2016/02/17 08:40:00,114.102,114.104,114.1,114.101,114.109,114.111,114.107,114.108
2016/02/17 08:41:00,114.101,114.101,114.091,114.094,114.108,114.108,114.098,114.101
2016/02/17 08:42:00,114.094,114.095,114.073,114.073,114.101,114.102,114.08,114.08
2016/02/17 08:43:00,114.073,114.075,114.06,114.069,114.08,114.082,114.067,114.076
2016/02/17 08:44:00,114.069,114.082,114.069,114.082,114.076,114.089,114.076,114.089
2016/02/17 08:45:00,114.082,114.082,114.065,114.067,114.089,114.089,114.072,114.074
2016/02/17 08:46:00,114.067,114.071,114.058,114.058,114.074,114.078,114.065,114.065
2016/02/17 08:47:00,114.058,114.063,114.058,114.06,114.065,114.07,114.065,114.067
2016/02/17 08:48:00,114.06,114.06,114.057,114.059,114.067,114.067,114.064,114.066
2016/02/17 08:49:00,114.059,114.061,114.057,114.059,114.066,114.071,114.066,114.071
2016/02/17 08:50:00,114.059,114.083,114.058,114.081,114.071,114.09,114.067,114.088
2016/02/17 08:51:00,114.081,114.083,114.072,114.08,114.088,114.09,114.079,114.087
2016/02/17 08:52:00,114.08,114.08,114.075,114.076,114.087,114.087,114.082,114.083
2016/02/17 08:53:00,114.076,114.076,114.051,114.051,114.083,114.083,114.058,114.058
2016/02/17 08:54:00,114.051,114.052,114.05,114.052,114.058,114.059,114.057,114.059
2016/02/17 08:55:00,114.052,114.085,114.052,114.081,114.059,114.092,114.059,114.088
2016/02/17 08:56:00,114.081,114.083,114.08,114.081,114.088,114.09,114.087,114.088
2016/02/17 08:57:00,114.081,114.092,114.081,114.091,114.088,114.099,114.088,114.098
2016/02/17 08:58:00,114.091,114.129,114.09,114.126,114.098,114.136,114.097,114.133
2016/02/17 08:59:00,114.126,114.138,114.116,114.134,114.133,114.145,114.123,114.141
2016/02/17 09:00:00,114.134,114.16,114.07,114.142,114.141,114.181,114.106,114.154
2016/02/17 09:01:00,114.142,114.185,114.136,114.163,114.154,114.195,114.143,114.17
2016/02/17 09:02:00,114.163,114.198,114.145,114.193,114.17,114.205,114.152,114.2
2016/02/17 09:03:00,114.193,114.237,114.193,114.219,114.2,114.244,114.2,114.226
2016/02/17 09:04:00,114.219,114.248,114.208,114.222,114.226,114.255,114.218,114.229
2016/02/17 09:05:00,114.222,114.222,114.211,114.222,114.229,114.229,114.218,114.229
