日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/05/03 06:00:00,122.667,122.736,122.667,122.67,122.785,122.792,122.746,122.758
2016/05/03 06:01:00,122.67,122.678,122.669,122.675,122.758,122.758,122.747,122.751
2016/05/03 06:02:00,122.675,122.675,122.662,122.671,122.751,122.751,122.738,122.747
2016/05/03 06:03:00,122.671,122.689,122.665,122.672,122.747,122.762,122.739,122.748
2016/05/03 06:04:00,122.672,122.694,122.668,122.694,122.748,122.766,122.74,122.756
2016/05/03 06:05:00,122.694,122.729,122.681,122.711,122.756,122.788,122.75,122.786
2016/05/03 06:06:00,122.711,122.711,122.682,122.703,122.786,122.786,122.737,122.767
2016/05/03 06:07:00,122.703,122.737,122.695,122.737,122.767,122.777,122.76,122.777
2016/05/03 06:08:00,122.737,122.743,122.691,122.694,122.777,122.783,122.767,122.769
2016/05/03 06:09:00,122.694,122.706,122.672,122.697,122.769,122.778,122.742,122.773
2016/05/03 06:10:00,122.697,122.725,122.692,122.693,122.773,122.779,122.76,122.768
2016/05/03 06:11:00,122.693,122.707,122.688,122.697,122.768,122.768,122.75,122.757
2016/05/03 06:12:00,122.697,122.715,122.696,122.715,122.757,122.775,122.748,122.765
2016/05/03 06:13:00,122.715,122.735,122.688,122.688,122.765,122.769,122.748,122.764
2016/05/03 06:14:00,122.688,122.706,122.687,122.701,122.764,122.778,122.76,122.776
2016/05/03 06:15:00,122.701,122.709,122.695,122.709,122.776,122.776,122.763,122.768
2016/05/03 06:16:00,122.709,122.717,122.707,122.715,122.768,122.775,122.766,122.773
2016/05/03 06:17:00,122.715,122.738,122.713,122.728,122.773,122.773,122.741,122.741
2016/05/03 06:18:00,122.728,122.728,122.668,122.669,122.741,122.75,122.724,122.728
2016/05/03 06:19:00,122.669,122.714,122.669,122.712,122.728,122.76,122.713,122.758
2016/05/03 06:20:00,122.712,122.741,122.696,122.698,122.758,122.767,122.743,122.747
2016/05/03 06:21:00,122.698,122.707,122.678,122.688,122.747,122.751,122.71,122.733
2016/05/03 06:22:00,122.688,122.73,122.684,122.73,122.733,122.754,122.73,122.743
2016/05/03 06:23:00,122.73,122.73,122.696,122.699,122.743,122.753,122.723,122.743
2016/05/03 06:24:00,122.699,122.707,122.69,122.699,122.743,122.745,122.718,122.741
