日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/03/10 07:00:00,124.637,124.668,124.632,124.659,124.742,124.748,124.693,124.708
2016/03/10 07:01:00,124.659,124.693,124.659,124.691,124.708,124.728,124.707,124.716
2016/03/10 07:02:00,124.691,124.699,124.672,124.672,124.716,124.724,124.712,124.712
2016/03/10 07:03:00,124.672,124.681,124.666,124.667,124.712,124.715,124.706,124.707
2016/03/10 07:04:00,124.667,124.67,124.667,124.669,124.707,124.71,124.707,124.709
2016/03/10 07:05:00,124.669,124.689,124.666,124.676,124.709,124.736,124.706,124.72
2016/03/10 07:06:00,124.676,124.689,124.676,124.679,124.72,124.721,124.709,124.719
2016/03/10 07:07:00,124.679,124.699,124.673,124.698,124.719,124.724,124.709,124.723
2016/03/10 07:08:00,124.698,124.7,124.691,124.698,124.723,124.738,124.72,124.738
2016/03/10 07:09:00,124.698,124.712,124.696,124.699,124.738,124.743,124.725,124.739
2016/03/10 07:10:00,124.699,124.714,124.698,124.709,124.739,124.74,124.716,124.722
2016/03/10 07:11:00,124.709,124.712,124.693,124.701,124.722,124.759,124.72,124.748
2016/03/10 07:12:00,124.701,124.704,124.693,124.697,124.748,124.753,124.742,124.744
2016/03/10 07:13:00,124.697,124.723,124.695,124.714,124.744,124.748,124.721,124.727
2016/03/10 07:14:00,124.714,124.718,124.7,124.706,124.727,124.744,124.725,124.742
2016/03/10 07:15:00,124.706,124.709,124.672,124.672,124.742,124.742,124.712,124.721
2016/03/10 07:16:00,124.672,124.682,124.672,124.679,124.721,124.727,124.716,124.717
2016/03/10 07:17:00,124.679,124.7,124.676,124.69,124.717,124.732,124.701,124.726
2016/03/10 07:18:00,124.69,124.704,124.681,124.682,124.726,124.73,124.709,124.727
2016/03/10 07:19:00,124.682,124.682,124.67,124.67,124.727,124.728,124.718,124.719
2016/03/10 07:20:00,124.67,124.684,124.67,124.684,124.719,124.731,124.718,124.725
2016/03/10 07:21:00,124.684,124.699,124.678,124.686,124.725,124.73,124.71,124.723
2016/03/10 07:22:00,124.686,124.698,124.678,124.691,124.723,124.738,124.711,124.731
2016/03/10 07:23:00,124.691,124.721,124.671,124.676,124.731,124.753,124.703,124.719
2016/03/10 07:24:00,124.676,124.695,124.658,124.662,124.719,124.729,124.697,124.698
2016/03/10 07:25:00,124.662,124.673,124.637,124.655,124.698,124.713,124.67,124.708
