日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/03/22 06:00:00,125.826,125.826,125.805,125.807,125.866,125.88,125.852,125.858
2016/03/22 06:01:00,125.807,125.814,125.803,125.809,125.858,125.867,125.849,125.849
2016/03/22 06:02:00,125.809,125.821,125.809,125.814,125.849,125.861,125.849,125.854
2016/03/22 06:03:00,125.814,125.817,125.814,125.817,125.854,125.857,125.854,125.857
2016/03/22 06:04:00,125.817,125.817,125.814,125.815,125.857,125.873,125.856,125.873
2016/03/22 06:05:00,125.815,125.815,125.809,125.809,125.873,125.878,125.873,125.878
2016/03/22 06:06:00,125.809,125.823,125.807,125.819,125.878,125.879,125.856,125.859
2016/03/22 06:07:00,125.819,125.823,125.818,125.823,125.859,125.863,125.858,125.863
2016/03/22 06:08:00,125.823,125.824,125.801,125.81,125.863,125.881,125.853,125.88
2016/03/22 06:09:00,125.81,125.82,125.795,125.804,125.88,125.88,125.848,125.868
2016/03/22 06:10:00,125.804,125.839,125.802,125.835,125.868,125.876,125.839,125.84
2016/03/22 06:11:00,125.835,125.838,125.801,125.834,125.84,125.875,125.834,125.839
2016/03/22 06:12:00,125.834,125.837,125.806,125.834,125.839,125.87,125.839,125.839
2016/03/22 06:13:00,125.834,125.834,125.83,125.834,125.839,125.839,125.835,125.839
2016/03/22 06:14:00,125.834,125.834,125.831,125.832,125.839,125.839,125.836,125.837
2016/03/22 06:15:00,125.832,125.834,125.831,125.833,125.837,125.839,125.836,125.838
2016/03/22 06:16:00,125.833,125.833,125.819,125.819,125.838,125.838,125.824,125.824
2016/03/22 06:17:00,125.819,125.831,125.819,125.824,125.824,125.836,125.824,125.829
2016/03/22 06:18:00,125.824,125.824,125.819,125.819,125.829,125.829,125.824,125.824
2016/03/22 06:19:00,125.819,125.824,125.815,125.824,125.824,125.829,125.82,125.829
2016/03/22 06:20:00,125.824,125.825,125.791,125.816,125.829,125.86,125.821,125.821
2016/03/22 06:21:00,125.816,125.816,125.813,125.814,125.821,125.821,125.818,125.819
2016/03/22 06:22:00,125.814,125.817,125.814,125.817,125.819,125.822,125.819,125.822
2016/03/22 06:23:00,125.817,125.822,125.814,125.822,125.822,125.827,125.819,125.827
2016/03/22 06:24:00,125.822,125.825,125.819,125.823,125.827,125.83,125.824,125.828
2016/03/22 06:25:00,125.823,125.827,125.819,125.819,125.828,125.832,125.824,125.824
2016/03/22 06:26:00,125.819,125.821,125.784,125.788,125.824,125.852,125.822,125.841
2016/03/22 06:27:00,125.788,125.828,125.787,125.825,125.841,125.845,125.821,125.83
2016/03/22 06:28:00,125.825,125.836,125.821,125.836,125.83,125.841,125.826,125.841
2016/03/22 06:29:00,125.836,125.84,125.825,125.826,125.841,125.845,125.83,125.831
2016/03/22 06:30:00,125.826,125.829,125.825,125.827,125.831,125.834,125.83,125.832
2016/03/22 06:31:00,125.827,125.827,125.82,125.823,125.832,125.832,125.825,125.828
2016/03/22 06:32:00,125.823,125.828,125.819,125.821,125.828,125.833,125.824,125.826
2016/03/22 06:33:00,125.821,125.822,125.812,125.815,125.826,125.827,125.817,125.82
2016/03/22 06:34:00,125.815,125.818,125.812,125.818,125.82,125.823,125.817,125.823
2016/03/22 06:35:00,125.818,125.819,125.813,125.818,125.823,125.824,125.818,125.823
2016/03/22 06:36:00,125.818,125.819,125.813,125.813,125.823,125.824,125.818,125.818
2016/03/22 06:37:00,125.813,125.817,125.812,125.815,125.818,125.822,125.817,125.82
2016/03/22 06:38:00,125.815,125.815,125.812,125.812,125.82,125.82,125.817,125.817
2016/03/22 06:39:00,125.812,125.812,125.809,125.81,125.817,125.817,125.814,125.815
2016/03/22 06:40:00,125.81,125.817,125.81,125.817,125.815,125.822,125.815,125.822
2016/03/22 06:41:00,125.817,125.817,125.812,125.813,125.822,125.822,125.817,125.818
2016/03/22 06:42:00,125.813,125.813,125.81,125.81,125.818,125.818,125.815,125.815
2016/03/22 06:43:00,125.81,125.813,125.807,125.811,125.815,125.818,125.812,125.816
2016/03/22 06:44:00,125.811,125.814,125.81,125.813,125.816,125.819,125.815,125.818
2016/03/22 06:45:00,125.813,125.819,125.81,125.818,125.818,125.824,125.815,125.823
2016/03/22 06:46:00,125.818,125.824,125.814,125.815,125.823,125.829,125.819,125.82
2016/03/22 06:47:00,125.815,125.816,125.813,125.814,125.82,125.821,125.818,125.819
2016/03/22 06:48:00,125.814,125.814,125.783,125.808,125.819,125.843,125.812,125.813
2016/03/22 06:49:00,125.808,125.816,125.808,125.815,125.813,125.821,125.813,125.82
2016/03/22 06:50:00,125.815,125.818,125.81,125.811,125.82,125.823,125.815,125.816
2016/03/22 06:51:00,125.811,125.823,125.789,125.794,125.816,125.879,125.815,125.852
2016/03/22 06:52:00,125.794,125.84,125.794,125.836,125.852,125.881,125.838,125.841
2016/03/22 06:53:00,125.836,125.843,125.834,125.842,125.841,125.848,125.839,125.847
2016/03/22 06:54:00,125.842,125.843,125.836,125.842,125.847,125.848,125.841,125.847
2016/03/22 06:55:00,125.842,125.843,125.837,125.838,125.847,125.848,125.842,125.843
2016/03/22 06:56:00,125.838,125.841,125.837,125.838,125.843,125.846,125.842,125.843
2016/03/22 06:57:00,125.838,125.842,125.836,125.837,125.843,125.847,125.841,125.842
2016/03/22 06:58:00,125.837,125.839,125.834,125.836,125.842,125.844,125.839,125.841
2016/03/22 06:59:00,125.836,125.84,125.836,125.84,125.841,125.845,125.841,125.845
2016/03/22 07:00:00,125.84,125.872,125.827,125.831,125.845,125.877,125.832,125.836
2016/03/22 07:01:00,125.831,125.832,125.798,125.805,125.836,125.837,125.803,125.81
2016/03/22 07:02:00,125.805,125.82,125.802,125.813,125.81,125.825,125.807,125.818
